id,user_id,provider,token_value,created_at,updated_at
2,2,Grok,tok_bob_1,2025-04-30 22:03:26,2025-04-30 22:03:26
4,4,Grok,tok_diana_1,2025-04-30 22:03:26,2025-04-30 22:03:26
6,6,Grok,tok_fiona_1,2025-04-30 22:03:26,2025-04-30 22:03:26
9,9,openai,tok_ian_1,2025-04-30 22:03:26,2025-04-30 22:03:26
10,10,openai,tok_julia_1,2025-04-30 22:03:26,2025-04-30 22:03:26
11,17,openai,l5uVjvMj,2025-05-02 00:01:39,2025-05-02 00:01:39
12,19,openai,tok_karen_1,2025-05-03 10:00:00,2025-05-03 10:00:00
13,21,Grok,tok_laura_1,2025-05-03 15:00:00,2025-05-03 15:00:00
16,31,huggingface,tok_nathan_1,2025-05-03 23:34:36,2025-05-03 23:34:36
22,33,github,ghp_new1234567890abcdefxyz,2025-11-02 10:00:00,2025-05-06 21:19:59
23,33,openai,sk_newabcdef1234567890xyz,2025-11-03 11:00:00,2025-05-06 21:19:59
24,34,Google,ya29.a0AfH6SMDnew1234567890,2024-11-06 15:00:00,2025-05-08 21:21:48
26,36,stripe,sk_test_1234567890abcdefxyz,2024-11-16 17:00:00,2024-11-16 17:00:00
27,37,figma,fig_1234567890abcdefxyz,2024-11-21 11:00:00,2024-11-21 11:00:00
28,38,aws,AKIA1234567890NEWEXAMPLE,2024-11-26 14:00:00,2024-11-26 14:00:00
29,39,hubspot,pat-na1-1234567890abcdefxyz,2024-12-02 09:00:00,2024-12-02 09:00:00
30,40,adobe,adobe_1234567890abcdefxyz,2024-12-06 13:00:00,2024-12-06 13:00:00
31,34,airbnb,airbnb_1234567890abcdefxyz,2024-11-07 16:00:00,2024-11-07 16:00:00
32,35,soundcloud,sc_1234567890abcdefxyz,2024-11-12 13:00:00,2024-11-12 13:00:00
33,37,canva,canva_1234567890abcdefxyz,2024-11-22 12:00:00,2024-11-22 12:00:00
